kierunek,wynagrodzenie,uczelnia,rok,forma,poziom,przedzial
 Informatyka ,9155.51, Politechnika Krakowska im. Tadeusza Kosciuszki ,2018,Niestacjonarne,II stopnia,9000-10000
 Informatyka Stosowana ,11986.45, Politechnika Warszawska ,2018,Niestacjonarne,II stopnia,>11000
 Bioinformatyka i biologia systemow ,9026.35, Uniwersytet Warszawski ,2018,Stacjonarne,I stopnia,9000-10000
 Informatyka ,8699.17, Politechnika Wroc³awska ,2018,Niestacjonarne,II stopnia,8000-9000
 Informatyka ,8962.36, Akademia Gorniczo-Hutnicza im. Stanis³awa Staszica w Krakowie ,2018,Stacjonarne,II stopnia,8000-9000
 Teleinformatyka ,8695.74, Akademia Gorniczo-Hutnicza im. Stanis³awa Staszica w Krakowie ,2018,Stacjonarne,II stopnia,8000-9000
 Informatyka ,9233.36, Polsko-Japonska Akademia Technik Komputerowych ,2018,Niestacjonarne,II stopnia,9000-10000
 Gornictwo i geologia ,8600.8, Akademia Gorniczo-Hutnicza im. Stanis³awa Staszica w Krakowie ,2018,Niestacjonarne,II stopnia,8000-9000
 Informatyka ,9601.01, Uniwersytet Jagiellonski w Krakowie ,2018,Niestacjonarne,II stopnia,9000-10000
 Informatyka ,8994.16, Uniwersytet Jagiellonski w Krakowie ,2018,Stacjonarne,II stopnia,8000-9000
 Informatyka ,11320.8, Uniwersytet Warszawski ,2018,Stacjonarne,II stopnia,>11000
 Informatyka ,7914.81, Politechnika Poznanska ,2018,Niestacjonarne,II stopnia,7000-8000
 Informatyka ,7273.77, Politechnika £odzka ,2018,Niestacjonarne,I stopnia,7000-8000
 Informatyka ,7600.79, Uniwersytet £odzki ,2018,Niestacjonarne,II stopnia,7000-8000
 Automatyka i robotyka ,7452.57, Akademia Gorniczo-Hutnicza im. Stanis³awa Staszica w Krakowie ,2018,Stacjonarne,II stopnia,7000-8000
 Informatyka ,8059.47, Politechnika £odzka ,2018,Niestacjonarne,I stopnia,8000-9000
 Informatyka ,8995.5, Politechnika Gdanska ,2018,Stacjonarne,II stopnia,8000-9000
 Automatyka i robotyka ,7047.29, Akademia Gorniczo-Hutnicza im. Stanis³awa Staszica w Krakowie ,2018,Niestacjonarne,II stopnia,7000-8000
 Elektronika i telekomunikacja ,8122.9, Akademia Gorniczo-Hutnicza im. Stanis³awa Staszica w Krakowie ,2018,Stacjonarne,II stopnia,8000-9000
 Informatyka stosowana ,7706.44, Akademia Gorniczo-Hutnicza im. Stanis³awa Staszica w Krakowie ,2018,Niestacjonarne,II stopnia,7000-8000
